     0/599     4.61G    0.1106   0.03577    0.0599    0.2063         8       640         0         0  0.002408 0.0003566    0.1105   0.02841   0.05714
    40/599     6.06G   0.04037   0.01975  0.002906   0.06302        14       640      0.48    0.9419    0.8161    0.3214   0.04593   0.02114  0.004027
    41/599     6.06G   0.03886   0.01959  0.003105   0.06156        13       640     0.546    0.9726    0.7896    0.3654   0.04246   0.01784  0.005265
    42/599     6.06G   0.03789   0.01896  0.003239   0.06008        15       640    0.3818    0.9097    0.8519    0.2902   0.04724   0.02256  0.004612
    43/599     6.06G   0.03724    0.0189   0.00307   0.05922        16       640    0.4241    0.6769    0.7115    0.2891   0.04531   0.02233  0.003548
    44/599     6.06G   0.03823    0.0188  0.003002   0.06002        14       640    0.4402    0.7689    0.7125     0.327    0.0388   0.01962  0.003567
    45/599     6.06G   0.03714   0.01947  0.002562   0.05918        18       640    0.5473    0.9501    0.8035      0.32    0.0414   0.01853  0.003267
    46/599     6.06G   0.03721   0.01892  0.002566    0.0587        11       640    0.5463    0.9884    0.7984    0.4068   0.03632   0.01732  0.003109
    47/599     6.06G   0.03542   0.01793  0.002433   0.05578        12       640    0.5447    0.9687    0.9455    0.4006   0.03786     0.017  0.003108
    48/599     6.06G   0.03701   0.01824  0.002375   0.05763        19       640     0.587    0.9575    0.9416    0.4907   0.03789   0.01657  0.003157
    49/599     6.06G   0.03558   0.01815   0.00228     0.056        16       640     0.496    0.8816    0.7931    0.3554   0.03896   0.02045   0.00306
    50/599     6.06G   0.03637   0.01771  0.002155   0.05624        13       640    0.5399    0.9782    0.8674     0.381   0.03541   0.01651  0.002914
    51/599     6.06G    0.0364   0.01751  0.002322   0.05622         8       640    0.4836    0.7773     0.761    0.3967   0.03604   0.01694  0.002938
    52/599     6.06G   0.03567   0.01854  0.002199   0.05641        20       640    0.4843    0.7745     0.718    0.3914   0.03474   0.01605  0.002824
    53/599     6.06G   0.03391   0.01788   0.00207   0.05386        13       640    0.6055    0.9864    0.9731    0.4341   0.03242   0.01503  0.003073
    54/599     6.06G   0.03489   0.01832  0.002443   0.05565        15       640    0.5895    0.9653    0.8093    0.3815   0.03631   0.01655  0.003259
    55/599     6.06G   0.03456   0.01792  0.002238   0.05471         9       640    0.6057    0.9721    0.8099    0.3555   0.03469   0.01595  0.002951
    56/599     6.06G   0.03471   0.01772  0.002359   0.05479        20       640    0.5295    0.9562    0.9413    0.3826   0.03982   0.01807  0.003057
    57/599     6.06G    0.0357   0.01796  0.002035    0.0557        17       640    0.6547    0.9793    0.9749    0.4104   0.03342   0.01607  0.002705
    58/599     6.06G   0.03386   0.01722  0.002094   0.05318        22       640    0.6326     0.949    0.9515    0.4119   0.03766   0.01871   0.00264
    59/599     6.06G   0.03346   0.01745   0.00209     0.053        14       640    0.5735    0.9684    0.9657    0.3997   0.03659   0.01674  0.002542
    60/599     6.06G   0.03514   0.01799  0.002143   0.05527        20       640    0.6278    0.9569    0.8498    0.4361   0.03713   0.01866  0.002713
    61/599     6.06G   0.03188   0.01721   0.00207   0.05116         9       640    0.5783    0.9909    0.8789     0.439    0.0323    0.0152  0.002586
    62/599     6.06G   0.03353   0.01715  0.002109   0.05279        10       640    0.5867    0.9319    0.9174       0.4   0.03981   0.02008   0.00374
    63/599     6.06G   0.03298   0.01686  0.001994   0.05184        10       640    0.5521     0.948    0.8554    0.3611   0.03775   0.01944   0.00273
    64/599     6.06G   0.03187   0.01717  0.001987   0.05103        16       640    0.5992    0.9278     0.919    0.4354   0.03931   0.02152   0.00289
    65/599     6.06G   0.03204    0.0167  0.001902   0.05064        10       640     0.623     0.885    0.8962    0.4051    0.0353    0.0208  0.002735
    66/599     6.06G    0.0319   0.01705   0.00179   0.05073        14       640    0.5504    0.7723     0.774    0.4281   0.03389   0.01602  0.002396
    67/599     6.06G   0.03279     0.017  0.001844   0.05163        16       640    0.5397    0.9653    0.9607    0.4075    0.0333   0.01732  0.002527
    68/599     6.06G   0.03256   0.01609  0.002062   0.05071        10       640    0.5646    0.9827    0.9717    0.4264   0.03533   0.01536  0.002562
    69/599     6.06G   0.03269   0.01702  0.001747   0.05146        16       640    0.6469    0.9873    0.9776    0.4252   0.03047   0.01512  0.002448
    70/599     6.06G   0.03267   0.01653   0.00183   0.05103        14       640    0.5284    0.7725    0.8134    0.3894   0.03593   0.01509   0.00257
    71/599     6.06G   0.03206   0.01657  0.001635   0.05026        20       640     0.605      0.95     0.943    0.3803   0.03906   0.01689  0.002614
    72/599     6.06G    0.0321   0.01593  0.001906   0.04994        13       640    0.6984    0.9632    0.8697     0.496   0.03247   0.01509  0.002665
    73/599     6.06G   0.02972    0.0164  0.001739   0.04786        17       640    0.5335    0.7909    0.7847    0.5042   0.02968   0.01447  0.002318
    74/599     6.06G   0.03264   0.01703  0.001982   0.05166        14       640    0.5955    0.9875     0.977    0.4662   0.03064   0.01474  0.002499
    75/599     6.06G   0.03203   0.01703   0.00177   0.05083        16       640    0.5425    0.7864    0.8413    0.4702   0.02949   0.01343  0.002212
    76/599     6.06G   0.03138   0.01672   0.00175   0.04985        18       640    0.6302    0.9909    0.9757    0.5581   0.02739   0.01365  0.002133
    77/599     6.06G   0.03171   0.01612    0.0018   0.04964        14       640    0.5351    0.7721     0.809    0.4572   0.03352   0.01591  0.002051
    78/599     6.06G   0.03166    0.0157  0.001536    0.0489         9       640    0.6636    0.9884    0.9841    0.4558   0.03106    0.0142  0.002245
    79/599     6.06G   0.02941   0.01564  0.001717   0.04677        14       640    0.6909    0.9185    0.8449    0.4566   0.03364   0.01846   0.00223
    80/599     6.06G    0.0302   0.01659  0.001916   0.04871        21       640    0.6975    0.9955    0.8897    0.4523   0.03234    0.0146  0.002618
    81/599     6.06G   0.03091    0.0156  0.001669   0.04817        10       640    0.6318    0.9864    0.9786    0.4143   0.03274   0.01527  0.002192
    82/599     6.06G   0.03012   0.01548   0.00153   0.04712        15       640    0.5285    0.7909    0.7822     0.466   0.02912   0.01351  0.002112
    83/599     6.06G   0.02973   0.01627  0.001655   0.04766        12       640     0.559    0.7818    0.7754    0.3949   0.03182   0.01416  0.002191
    84/599     6.06G   0.02996   0.01549  0.001875   0.04732         9       640    0.6938    0.9918    0.8876    0.4976   0.02959   0.01544   0.00214
    85/599     6.06G   0.02972    0.0163  0.001717   0.04774        13       640    0.5776    0.7909    0.7815    0.4686   0.02827   0.01397  0.002081
    86/599     6.06G   0.03002   0.01572  0.001554    0.0473        12       640    0.5984     0.983    0.9718    0.4794   0.02873   0.01429  0.002304
    87/599     6.06G   0.03044    0.0161  0.001564    0.0481        13       640    0.6541    0.9772    0.8727    0.5081   0.02809   0.01449  0.002535
    88/599     6.06G   0.02906   0.01534  0.001623   0.04603        19       640    0.5821    0.9748    0.8305    0.4715   0.03035   0.01429  0.002064
    89/599     6.06G   0.02868   0.01554  0.001426   0.04564        16       640    0.6856    0.9909    0.8825    0.4616   0.03005   0.01456  0.002025
    90/599     6.06G   0.03048     0.016  0.001553   0.04804        16       640     0.622    0.9793    0.9754    0.4392   0.03056   0.01541  0.002097
    91/599     6.06G   0.02903   0.01536  0.001611     0.046        22       640    0.6327    0.9408    0.9599    0.4999   0.03325   0.02118  0.002152
    92/599     6.06G   0.02911   0.01593  0.001623   0.04666        10       640    0.6745    0.9921    0.8844    0.5713   0.02905   0.01363  0.002148
    93/599     6.06G   0.02872   0.01511  0.001774   0.04561         6       640    0.6814     0.985    0.9672    0.4838   0.03074   0.01494  0.002041
    94/599     6.06G   0.02948   0.01544  0.001837   0.04676        14       640    0.6617    0.9909    0.8834    0.5536   0.02962   0.01407  0.001965
    95/599     6.06G   0.02837   0.01544  0.001463   0.04527        12       640    0.6322    0.9873    0.9804    0.6335   0.02803   0.01469  0.001793
    96/599     6.06G   0.02903   0.01521  0.001356    0.0456        22       640    0.6375    0.9909    0.9824    0.5365   0.02618   0.01312  0.002025
    97/599     6.06G   0.02796   0.01504  0.001571   0.04457         9       640    0.6561    0.9909    0.9813    0.5656   0.02779   0.01353  0.001946
    98/599     6.06G   0.02822   0.01525  0.001668   0.04514        12       640    0.6996    0.9782    0.9711    0.5062   0.02871    0.0137  0.002004
    99/599     6.06G   0.02784   0.01472  0.001501   0.04406        18       640     0.755    0.9909    0.9793    0.5606    0.0281    0.0133  0.001937
   100/599     6.06G   0.02939   0.01496  0.001512   0.04586        12       640    0.6774    0.9909    0.9821    0.5233   0.02833   0.01418  0.001902
   101/599     6.06G   0.02802   0.01445  0.001566   0.04404        14       640    0.6871    0.9909    0.8845     0.535   0.02775   0.01442  0.001878
   102/599     6.06G   0.02772   0.01461  0.001468    0.0438        15       640    0.5352    0.7775    0.7775    0.4669   0.03094   0.01621  0.001834
